is_late;average_delivery_days;delivery_time;review_score;customer_state;product_category_name_english;total_orders;total_revenue
0;6;fast delivery;1;BA;"baby ";1;174,21
0;2;fast delivery;1;BA;"bed_bath_table ";3;1103,33
0;6;fast delivery;1;BA;"home_confort ";1;106,97
0;6;fast delivery;1;CE;"auto ";1;50,25
0;6;fast delivery;1;CE;"cool_stuff ";1;210,42
0;6;fast delivery;1;CE;"perfumery ";1;82,28
0;5;fast delivery;1;DF;"auto ";1;52,98
0;5;fast delivery;1;DF;"baby ";2;1064,68
0;4;fast delivery;1;DF;"bed_bath_table ";1;63,9
0;6;fast delivery;1;DF;"cool_stuff ";1;146,86
0;2;fast delivery;1;DF;"electronics ";2;50,6
0;6;fast delivery;1;DF;"fashion_bags_accessories ";1;102,37
0;2;fast delivery;1;DF;"health_beauty ";1;125,97
0;4;fast delivery;1;DF;"home_appliances ";1;87,58
0;5;fast delivery;1;DF;"housewares ";2;706,72
0;6;fast delivery;1;DF;"luggage_accessories ";1;130,02
0;4;fast delivery;1;DF;"perfumery ";1;145,69
0;6;fast delivery;1;DF;"pet_shop ";1;148,98
0;4;fast delivery;1;DF;"small_appliances ";1;65,1
0;4;fast delivery;1;DF;"sports_leisure ";3;702,94
0;6;fast delivery;1;DF;"watches_gifts ";1;79,2
0;6;fast delivery;1;ES;"air_conditioning ";1;211,51
0;6;fast delivery;1;ES;"fashion_bags_accessories ";1;360,48
0;3;fast delivery;1;ES;"furniture_decor ";1;49,17
0;5;fast delivery;1;ES;"housewares ";1;433,14
0;2;fast delivery;1;ES;"stationery ";1;193,6
0;3;fast delivery;1;GO;"bed_bath_table ";1;73,02
0;3;fast delivery;1;GO;"cool_stuff ";1;243,58
0;6;fast delivery;1;GO;"sports_leisure ";2;169,63
0;4;fast delivery;1;MA;"health_beauty ";1;76,15
0;4;fast delivery;1;MG;"auto ";4;403,66
0;3;fast delivery;1;MG;"baby ";3;1006,13
0;4;fast delivery;1;MG;"bed_bath_table ";10;1718,94
0;6;fast delivery;1;MG;"books_general_interest ";1;99,43
0;6;fast delivery;1;MG;"christmas_supplies ";1;57,62
0;3;fast delivery;1;MG;"computers_accessories ";10;933,83
0;6;fast delivery;1;MG;"construction_tools_construction ";1;245,68
0;5;fast delivery;1;MG;"cool_stuff ";4;1266,56
0;6;fast delivery;1;MG;"costruction_tools_garden ";1;261,13
0;3;fast delivery;1;MG;"costruction_tools_tools ";1;211,75
0;6;fast delivery;1;MG;"electronics ";1;170,82
0;4;fast delivery;1;MG;"fashion_bags_accessories ";2;247,12
0;5;fast delivery;1;MG;"furniture_decor ";8;1703,6
0;5;fast delivery;1;MG;"garden_tools ";1;419,06
0;4;fast delivery;1;MG;"health_beauty ";9;543,56
0;5;fast delivery;1;MG;"home_appliances ";4;390,78
0;5;fast delivery;1;MG;"home_construction ";2;94,71
0;4;fast delivery;1;MG;"housewares ";9;703,83
0;5;fast delivery;1;MG;"industry_commerce_and_business ";2;355,71
0;5;fast delivery;1;MG;"luggage_accessories ";1;118,58
0;3;fast delivery;1;MG;"music ";1;64,65
0;3;fast delivery;1;MG;"musical_instruments ";1;84,36
0;4;fast delivery;1;MG;"perfumery ";4;344,28
0;5;fast delivery;1;MG;"pet_shop ";3;395,29
0;5;fast delivery;1;MG;"signaling_and_security ";1;337,24
0;5;fast delivery;1;MG;"small_appliances ";1;979,45
0;5;fast delivery;1;MG;"sports_leisure ";3;980,8
0;4;fast delivery;1;MG;"stationery ";2;261,68
0;5;fast delivery;1;MG;"telephony ";7;396,02
0;4;fast delivery;1;MG;"toys ";4;846,63
0;5;fast delivery;1;MG;unknown;2;243,1
0;4;fast delivery;1;MG;"watches_gifts ";7;682,25
0;5;fast delivery;1;MS;"computers_accessories ";1;44,1
0;3;fast delivery;1;MS;"health_beauty ";1;106,97
0;3;fast delivery;1;MS;"market_place ";1;43,22
0;5;fast delivery;1;MS;"perfumery ";1;28,09
0;6;fast delivery;1;MT;"electronics ";1;97,9
0;6;fast delivery;1;MT;"housewares ";1;119,28
0;3;fast delivery;1;PE;"computers_accessories ";1;160,16
0;6;fast delivery;1;PE;"small_appliances ";1;591,12
0;5;fast delivery;1;PE;"sports_leisure ";2;260,26
0;5;fast delivery;1;PE;"watches_gifts ";1;74,08
0;5;fast delivery;1;PR;"auto ";3;673,33
0;6;fast delivery;1;PR;"baby ";1;200,61
0;4;fast delivery;1;PR;"bed_bath_table ";6;1265,52
0;4;fast delivery;1;PR;"books_imported ";1;63,41
0;4;fast delivery;1;PR;"computers_accessories ";4;614,45
0;3;fast delivery;1;PR;"consoles_games ";1;755,89
0;6;fast delivery;1;PR;"construction_tools_construction ";1;128,72
0;5;fast delivery;1;PR;"fashion_bags_accessories ";1;44,09
0;4;fast delivery;1;PR;"furniture_decor ";4;596,33
0;5;fast delivery;1;PR;"health_beauty ";4;701,78
0;5;fast delivery;1;PR;"housewares ";4;457,9
0;6;fast delivery;1;PR;"office_furniture ";1;1246,34
0;4;fast delivery;1;PR;"sports_leisure ";4;639,29
0;6;fast delivery;1;PR;"stationery ";1;92,9
0;4;fast delivery;1;PR;"telephony ";1;163,18
0;6;fast delivery;1;PR;"watches_gifts ";1;127,52
0;4;fast delivery;1;RJ;"audio ";2;139,83
0;3;fast delivery;1;RJ;"auto ";2;1659,15
0;4;fast delivery;1;RJ;"baby ";2;256,87
0;5;fast delivery;1;RJ;"bed_bath_table ";14;1805,82
0;5;fast delivery;1;RJ;"books_general_interest ";1;123,25
0;4;fast delivery;1;RJ;"computers_accessories ";7;809,27
0;4;fast delivery;1;RJ;"construction_tools_construction ";3;422,51
0;6;fast delivery;1;RJ;"construction_tools_safety ";1;54,25
0;4;fast delivery;1;RJ;"cool_stuff ";3;485,57
0;6;fast delivery;1;RJ;"drinks ";1;94,68
0;5;fast delivery;1;RJ;"electronics ";4;688,87
0;5;fast delivery;1;RJ;"fashion_bags_accessories ";4;643,2
0;5;fast delivery;1;RJ;"furniture_decor ";6;568,78
0;3;fast delivery;1;RJ;"garden_tools ";1;60,44
0;4;fast delivery;1;RJ;"health_beauty ";8;1130,58
0;6;fast delivery;1;RJ;"home_confort ";1;24,2
0;5;fast delivery;1;RJ;"housewares ";5;682,06
0;5;fast delivery;1;RJ;"kitchen_dining_laundry_garden_furniture ";1;129,2
0;5;fast delivery;1;RJ;"luggage_accessories ";2;540,77
0;5;fast delivery;1;RJ;"musical_instruments ";1;2150,81
0;4;fast delivery;1;RJ;"perfumery ";8;932,63
0;3;fast delivery;1;RJ;"pet_shop ";3;435,68
0;4;fast delivery;1;RJ;"sports_leisure ";10;1533,87
0;6;fast delivery;1;RJ;"stationery ";2;238,73
0;4;fast delivery;1;RJ;"telephony ";5;220,84
0;3;fast delivery;1;RJ;"toys ";5;1023,68
0;4;fast delivery;1;RJ;unknown;2;196,78
0;5;fast delivery;1;RJ;"watches_gifts ";17;4717,18
0;1;fast delivery;1;RS;"baby ";1;58,85
0;2;fast delivery;1;RS;"bed_bath_table ";1;623,1
0;2;fast delivery;1;RS;"computers_accessories ";1;250,53
0;4;fast delivery;1;RS;"electronics ";1;113,87
0;6;fast delivery;1;RS;"fashion_male_clothing ";1;421,33
0;5;fast delivery;1;RS;"furniture_decor ";1;116,48
0;4;fast delivery;1;RS;"housewares ";2;144,89
0;5;fast delivery;1;RS;"luggage_accessories ";1;330,31
0;5;fast delivery;1;RS;"sports_leisure ";1;151,04
0;6;fast delivery;1;RS;"telephony ";1;34
0;6;fast delivery;1;RS;unknown;2;337,3
0;5;fast delivery;1;SC;"auto ";2;184,94
0;5;fast delivery;1;SC;"bed_bath_table ";2;485,94
0;6;fast delivery;1;SC;"computers_accessories ";1;86,44
0;5;fast delivery;1;SC;"construction_tools_safety ";1;396,35
0;6;fast delivery;1;SC;"food ";1;46,2
0;4;fast delivery;1;SC;"furniture_decor ";2;353,4
0;3;fast delivery;1;SC;"garden_tools ";1;184,52
